timestamp;cpu;ramTotal;ramUsada;discoTotal;discoUsado;numProcessos;codigoMaquina;empresa;setor;top5Processos
2025-10-27 18:12:12;5.000000;23.710808;56.100000;476.198238;60.900000;359;COD000;Teste;SETOR DE TESTES;[{'name': 'System Idle Process', 'cpu_percent': 1120.3, 'pid': 0}, {'name': 'python3.11.exe', 'cpu_percent': 12.9, 'pid': 5868}, {'name': 'NitroSense.exe', 'cpu_percent': 5.2, 'pid': 13404}, {'name': 'System', 'cpu_percent': 5.1, 'pid': 4}, {'name': 'Code.exe', 'cpu_percent': 4.1, 'pid': 16136}]
2025-10-27 18:12:25;4.400000;23.710808;56.200000;476.198238;60.900000;360;COD000;Teste;SETOR DE TESTES;[{'name': 'System Idle Process', 'cpu_percent': 1105.6, 'pid': 0}, {'name': 'System', 'cpu_percent': 14.6, 'pid': 4}, {'name': 'python3.11.exe', 'cpu_percent': 12.1, 'pid': 5868}, {'name': 'XboxPcApp.exe', 'cpu_percent': 7.0, 'pid': 11540}, {'name': 'NitroSense.exe', 'cpu_percent': 5.1, 'pid': 13404}]
2025-10-27 18:12:39;17.100000;23.710808;56.200000;476.198238;60.900000;360;COD000;Teste;SETOR DE TESTES;[{'name': 'System Idle Process', 'cpu_percent': 1118.4, 'pid': 0}, {'name': 'python3.11.exe', 'cpu_percent': 13.1, 'pid': 5868}, {'name': 'System', 'cpu_percent': 5.3, 'pid': 4}, {'name': 'NitroSense.exe', 'cpu_percent': 4.7, 'pid': 13404}, {'name': 'XboxPcApp.exe', 'cpu_percent': 4.6, 'pid': 11540}]
2025-10-27 18:12:52;4.300000;23.710808;56.100000;476.198238;60.900000;360;COD000;Teste;SETOR DE TESTES;[{'name': 'System Idle Process', 'cpu_percent': 1108.7, 'pid': 0}, {'name': 'System', 'cpu_percent': 14.4, 'pid': 4}, {'name': 'python3.11.exe', 'cpu_percent': 13.1, 'pid': 5868}, {'name': 'NitroSense.exe', 'cpu_percent': 4.7, 'pid': 13404}, {'name': 'explorer.exe', 'cpu_percent': 3.8, 'pid': 13680}]
2025-10-27 18:11:06;10.800000;23.710808;56.800000;476.198238;60.900000;359;COD000;Teste;SETOR DE TESTES;[{'name': 'System Idle Process', 'cpu_percent': 1115.6, 'pid': 0}, {'name': 'python3.11.exe', 'cpu_percent': 17.0, 'pid': 5868}, {'name': 'OneDrive.exe', 'cpu_percent': 16.8, 'pid': 32836}, {'name': 'NitroSense.exe', 'cpu_percent': 4.9, 'pid': 13404}, {'name': 'System', 'cpu_percent': 4.7, 'pid': 4}]
2025-10-27 18:11:20;11.400000;23.710808;56.900000;476.198238;60.900000;359;COD000;Teste;SETOR DE TESTES;[{'name': 'System Idle Process', 'cpu_percent': 1032.3, 'pid': 0}, {'name': 'OneDrive.exe', 'cpu_percent': 80.0, 'pid': 32836}, {'name': 'System', 'cpu_percent': 14.1, 'pid': 4}, {'name': 'python3.11.exe', 'cpu_percent': 13.0, 'pid': 5868}, {'name': 'NitroSense.exe', 'cpu_percent': 3.8, 'pid': 13404}]
2025-10-27 18:11:33;1.800000;23.710808;56.800000;476.198238;60.900000;359;COD000;Teste;SETOR DE TESTES;[{'name': 'System Idle Process', 'cpu_percent': 1123.9, 'pid': 0}, {'name': 'python3.11.exe', 'cpu_percent': 12.6, 'pid': 5868}, {'name': 'explorer.exe', 'cpu_percent': 6.8, 'pid': 13680}, {'name': 'System', 'cpu_percent': 5.3, 'pid': 4}, {'name': 'NitroSense.exe', 'cpu_percent': 4.5, 'pid': 13404}]
2025-10-27 18:11:46;6.300000;23.710808;56.800000;476.198238;60.900000;359;COD000;Teste;SETOR DE TESTES;[{'name': 'System Idle Process', 'cpu_percent': 1115.9, 'pid': 0}, {'name': 'System', 'cpu_percent': 13.1, 'pid': 4}, {'name': 'python3.11.exe', 'cpu_percent': 13.1, 'pid': 5868}, {'name': 'NitroSense.exe', 'cpu_percent': 3.7, 'pid': 13404}, {'name': 'Code.exe', 'cpu_percent': 3.4, 'pid': 30728}]
2025-10-27 18:11:59;13.000000;23.710808;56.100000;476.198238;60.900000;359;COD000;Teste;SETOR DE TESTES;[{'name': 'System Idle Process', 'cpu_percent': 1090.1, 'pid': 0}, {'name': 'MemCompression', 'cpu_percent': 14.8, 'pid': 3640}, {'name': 'python3.11.exe', 'cpu_percent': 13.2, 'pid': 5868}, {'name': 'System', 'cpu_percent': 7.3, 'pid': 4}, {'name': 'XboxPcApp.exe', 'cpu_percent': 6.5, 'pid': 11540}]
2025-10-27 18:12:12;5.000000;23.710808;56.100000;476.198238;60.900000;359;COD000;Teste;SETOR DE TESTES;[{'name': 'System Idle Process', 'cpu_percent': 1120.3, 'pid': 0}, {'name': 'python3.11.exe', 'cpu_percent': 12.9, 'pid': 5868}, {'name': 'NitroSense.exe', 'cpu_percent': 5.2, 'pid': 13404}, {'name': 'System', 'cpu_percent': 5.1, 'pid': 4}, {'name': 'Code.exe', 'cpu_percent': 4.1, 'pid': 16136}]
2025-10-27 18:12:25;4.400000;23.710808;56.200000;476.198238;60.900000;360;COD000;Teste;SETOR DE TESTES;[{'name': 'System Idle Process', 'cpu_percent': 1105.6, 'pid': 0}, {'name': 'System', 'cpu_percent': 14.6, 'pid': 4}, {'name': 'python3.11.exe', 'cpu_percent': 12.1, 'pid': 5868}, {'name': 'XboxPcApp.exe', 'cpu_percent': 7.0, 'pid': 11540}, {'name': 'NitroSense.exe', 'cpu_percent': 5.1, 'pid': 13404}]
2025-10-27 18:12:39;17.100000;23.710808;56.200000;476.198238;60.900000;360;COD000;Teste;SETOR DE TESTES;[{'name': 'System Idle Process', 'cpu_percent': 1118.4, 'pid': 0}, {'name': 'python3.11.exe', 'cpu_percent': 13.1, 'pid': 5868}, {'name': 'System', 'cpu_percent': 5.3, 'pid': 4}, {'name': 'NitroSense.exe', 'cpu_percent': 4.7, 'pid': 13404}, {'name': 'XboxPcApp.exe', 'cpu_percent': 4.6, 'pid': 11540}]
2025-10-27 18:12:52;4.300000;23.710808;56.100000;476.198238;60.900000;360;COD000;Teste;SETOR DE TESTES;[{'name': 'System Idle Process', 'cpu_percent': 1108.7, 'pid': 0}, {'name': 'System', 'cpu_percent': 14.4, 'pid': 4}, {'name': 'python3.11.exe', 'cpu_percent': 13.1, 'pid': 5868}, {'name': 'NitroSense.exe', 'cpu_percent': 4.7, 'pid': 13404}, {'name': 'explorer.exe', 'cpu_percent': 3.8, 'pid': 13680}]
2025-10-27 18:11:06;10.800000;23.710808;56.800000;476.198238;60.900000;359;COD000;Teste;SETOR DE TESTES;[{'name': 'System Idle Process', 'cpu_percent': 1115.6, 'pid': 0}, {'name': 'python3.11.exe', 'cpu_percent': 17.0, 'pid': 5868}, {'name': 'OneDrive.exe', 'cpu_percent': 16.8, 'pid': 32836}, {'name': 'NitroSense.exe', 'cpu_percent': 4.9, 'pid': 13404}, {'name': 'System', 'cpu_percent': 4.7, 'pid': 4}]
2025-10-27 18:11:20;11.400000;23.710808;56.900000;476.198238;60.900000;359;COD000;Teste;SETOR DE TESTES;[{'name': 'System Idle Process', 'cpu_percent': 1032.3, 'pid': 0}, {'name': 'OneDrive.exe', 'cpu_percent': 80.0, 'pid': 32836}, {'name': 'System', 'cpu_percent': 14.1, 'pid': 4}, {'name': 'python3.11.exe', 'cpu_percent': 13.0, 'pid': 5868}, {'name': 'NitroSense.exe', 'cpu_percent': 3.8, 'pid': 13404}]
2025-10-27 18:11:33;1.800000;23.710808;56.800000;476.198238;60.900000;359;COD000;Teste;SETOR DE TESTES;[{'name': 'System Idle Process', 'cpu_percent': 1123.9, 'pid': 0}, {'name': 'python3.11.exe', 'cpu_percent': 12.6, 'pid': 5868}, {'name': 'explorer.exe', 'cpu_percent': 6.8, 'pid': 13680}, {'name': 'System', 'cpu_percent': 5.3, 'pid': 4}, {'name': 'NitroSense.exe', 'cpu_percent': 4.5, 'pid': 13404}]
